id,name,cash,liquor quantity (litres),liquor value,drugs quantity (kg),drugs value,precious metal quantity,precious metal value,other items,total value
Andaman and Nicobar Island (UT),Andaman and Nicobar Island (UT),0.43,,0.09,14.59,0.07,,,,0.59
Andhra Pradesh,Andhra Pradesh,137.27,7.06,27.23,,0.61,,35.24,21.46,221.81
Arunachal Pradesh,Arunachal Pradesh,7.05,,1.94,1.6,0.01,0,0,0.82,9.82
Assam,Assam,13.05,1.77,1.51,1166,1.09,1.2,0.36,0.23,16.24
Bihar,Bihar,8.14,0.78,,146,,44,,,8.14
Chandigarh (UT),Chandigarh (UT),0.19,0.03,0.04,,0.4,0,0,0,0.63
Chhattisgarh,Chhattisgarh,7.78,0.07,0.13,996,0.4,0.5,0.17,0.85,9.33
Dadra and Nagar Haveli (UT),Dadra and Nagar Haveli (UT),2.05,0.09,0.21,0,0,0,0,0.03,2.29
Daman and Diu (UT),Daman and Diu (UT),1.03,0.07,0.12,0,0,7.65,0.03,0.23,1.41
Goa,Goa,2.76,1.3,8.37,7.93,0.32,0,0.18,0.06,11.69
Gujarat,Gujarat,7.4,3.97,11.36,130.73,524.34,42.77,2.39,0,545.49
Haryana,Haryana,4.31,3.15,5.12,,5.15,,1.13,0.003,15.713
Himachal Pradesh,Himachal Pradesh,0.08,4.53,7.05,77,1,0,0,0,8.13
Jammu and Kashmir,Jammu and Kashmir,0.8,0.03,0.02,,1.5,0,0,0,2.32
Jharkhand,Jharkhand,2.69,2.22,1.52,,2.15,,0.04,1.03,7.43
Karnataka,Karnataka,39.41,9.6,37.85,159,0.12,52,9.55,1.35,88.28
Kerala,Kerala,7.35,0.06,0.5,,21.58,,3.26,0,32.69
Lakshadweep,Lakshadweep,0,0.001,0.0003,0.089,0.0047,0,0,0,0.005
Madhya Pradesh,Madhya Pradesh,22.93,5.16,12.35,13780,6.44,1263,6.35,6.51,54.58
Maharashtra,Maharashtra,52.91,32.24,25.24,14788,7.73,,45.47,0.1,131.45
Manipur,Manipur,1.15,0.435,0.438,,31.96,,5.133,0.004,38.685
Meghalaya,Meghalaya,0.72,,0.2,,0.003,0,0,0,0.923
Mizoram,Mizoram,0,,0.24,,0.36,0,0,0,0.6
Nagaland,Nagaland,0.92,0.56,1.86,221,0.79,0,0,0,3.57
NCT of Delhi,NCT of Delhi,33.12,0.93,2.66,0,352.69,0,7.24,0,395.71
Odisha,Odisha,3.7,1.57,4.1,0,0,0,0,0.13,7.93
Puducherry,Puducherry,0.42,0.09,0.17,,,0,0,0.23,0.82
Punjab,Punjab,25.13,9.91,8.33,7378,181.57,440,21.57,0.27,236.87
Rajasthan,Rajasthan,5.47,5.2,11.81,,14.34,,7.7,5.97,45.29
Sikkim,Sikkim,0.24,0.02,0.04,,0.007,0,0,0,0.287
Tamil Nadu,Tamil Nadu,215.14,2.19,3.55,,0.38,3063,708.71,8.18,935.96
Telangana,Telangana,68.82,3.41,5.41,1471,3.06,6.3,1.26,0.46,79.01
Tripura,Tripura,0.41,0.28,0.46,2158,0.91,0,0,0,1.78
Uttarakhand,Uttarakhand,3.37,0.8,2.9,,0.77,0.6,0.21,0.04,7.29
Uttar Pradesh,Uttar Pradesh,41.84,15.54,42.7,19409,21.79,709,71.59,0,177.92
West Bengal,West Bengal,34.84,13.9,17,,3.06,,18.2,2.95,76.05
